artist,artwork,year,location,image_url,artwork_id,artist_id,category,museum,material,genre,art_type,movement
El Greco,Laocoön,1610,National Gallery of Art (Washington),http://commons.wikimedia.org/wiki/Special:FilePath/El%20Greco%20%28Domenikos%20Theotokopoulos%29%20-%20Laoco%C3%B6n%20-%20Google%20Art%20Project.jpg?width=400,ce8d8180de34,adc912503525,Painting,"Washington, D.C.",oil paint,mythological painting,painting,Mannerism
El Greco,The Annunciation,1596,Prado Museum,http://commons.wikimedia.org/wiki/Special:FilePath/Anunciacion%20Prado%282%29.jpg?width=400,436d61b4f53b,adc912503525,Painting,Museo del Prado,oil paint,religious art,painting,Mannerism
El Greco,Christ Carrying the Cross,1580,Prado Museum,http://commons.wikimedia.org/wiki/Special:FilePath/Christ%20Carrying%20the%20Cross%20MET%20DT714.jpg?width=400,f10ed5ec00a3,adc912503525,Painting,Metropolitan Museum of Art,oil paint,religious art,painting,Unknown
El Greco,The Adoration of the Shepherds,1612,Prado Museum,http://commons.wikimedia.org/wiki/Special:FilePath/El%20Greco%20%28Domenikos%20Theotokopoulos%29%20-%20The%20Adoration%20of%20the%20Shepherds%20%28ca.%201605%E2%80%9310%29%20-%20Metropolitan%20Museum%20of%20Art.jpg?width=400,1276237aa58f,adc912503525,Painting,Metropolitan Museum of Art,oil paint,religious art,painting,Mannerism
El Greco,Portrait of a Man,1590,Metropolitan Museum of Art,http://commons.wikimedia.org/wiki/Special:FilePath/El%20Greco%20-%20Portrait%20of%20a%20Man%20-%20WGA10479.jpg?width=400,53f531cc4f72,adc912503525,Painting,Hispanic Society of America,oil paint,portrait,painting,Unknown
Jean-Auguste-Dominique Ingres,The Turkish Bath,1862,Louvre Museum,http://commons.wikimedia.org/wiki/Special:FilePath/Le%20Bain%20Turc%2C%20by%20Jean%20Auguste%20Dominique%20Ingres%2C%20from%20C2RMF%20retouched.jpg?width=400,1403e85faab0,29e5bb2ef4b8,Painting,Room 940,oil paint,nude,tondo,Neoclassicism
Jean-Auguste-Dominique Ingres,Portrait of Monsieur Bertin,1832,Louvre Museum,http://commons.wikimedia.org/wiki/Special:FilePath/Louis-Francois%20Bertin.jpg?width=400,b3b8ea919b36,29e5bb2ef4b8,Painting,Room 940,oil paint,portrait,painting,Neoclassicism
Jean-Auguste-Dominique Ingres,Oedipus and the Sphinx,1808,Louvre Museum,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Auguste-Dominique%20Ingres%20%281780-1867%29%20-%20Oedipus%20and%20the%20Sphinx%20-%20NG3290%20-%20National%20Gallery.jpg?width=400,7c1c7768417e,29e5bb2ef4b8,Painting,National Gallery,oil paint,Unknown,painting,Unknown
Eugène Delacroix,Liberty Leading the People,1830,Louvre Museum,http://commons.wikimedia.org/wiki/Special:FilePath/La%20Libert%C3%A9%20guidant%20le%20peuple%20-%20Eug%C3%A8ne%20Delacroix%20-%20Mus%C3%A9e%20du%20Louvre%20Peintures%20RF%20129%20-%20apr%C3%A8s%20restauration%202024.jpg?width=400,8b338cca8d2f,f743fab27963,Painting,Room 700,oil paint,history painting,painting,Romanticism
Eugène Delacroix,Women of Algiers,1834,Louvre Museum,http://commons.wikimedia.org/wiki/Special:FilePath/Eug%C3%A8ne%20Delacroix%2C%20Women%20of%20Algiers%2C%201833%2C%20NGA%206491.jpg?width=400,afb44f49ed93,f743fab27963,Painting,National Gallery of Art,graphite,Unknown,drawing,Unknown
